Time (Hours),SSM,Toray,Carbon paper,Modified (10%Carbon black+SSM)
140:00:00,-0.26,0.11,-0.2,0.26
141:00:00,-0.27,0.14,-0.2,0.26
142:00:00,-0.27,0.14,-0.2,0.26
143:00:00,-0.27,0.14,-0.2,0.26
144:00:00,-0.28,0.14,-0.2,0.26
145:00:00,-0.28,0.14,-0.2,0.26
146:00:00,-0.28,0.14,-0.2,0.26
147:00:00,-0.29,0.14,-0.2,0.26
148:00:00,-0.28,0.14,-0.2,0.26
149:00:00,-0.28,0.14,-0.2,0.26
150:00:00,-0.28,0.14,-0.2,0.26
151:00:00,-0.29,0.14,-0.19,0.26
152:00:00,-0.29,0.13,-0.19,0.26
153:00:00,-0.29,0.14,-0.19,0.26
154:00:00,-0.29,0.14,-0.19,0.26
155:00:00,-0.29,0.15,-0.19,0.27
156:00:00,-0.29,0.14,-0.19,0.27
157:00:00,-0.3,0.15,-0.19,0.27
158:00:00,-0.3,0.15,-0.19,0.27
159:00:00,-0.29,0.15,-0.19,0.27
160:00:00,-0.3,0.16,-0.19,0.27
161:00:00,-0.3,0.15,-0.19,0.27
162:00:00,-0.29,0.08,-0.19,0.27
163:00:00,-0.29,0.12,-0.19,0.27
164:00:00,-0.29,0.14,-0.19,0.27
165:00:00,-0.29,0.14,-0.19,0.27
166:00:00,-0.29,0.15,-0.19,0.27
167:00:00,-0.29,0.13,-0.19,0.27
168:00:00,-0.29,0.14,-0.19,0.27
169:00:00,-0.29,0.15,-0.19,0.27
170:00:00,-0.3,0.14,-0.19,0.27
171:00:00,-0.3,0.14,-0.19,0.27
172:00:00,-0.3,0.14,-0.19,0.27
173:00:00,-0.3,0.14,-0.19,0.27
174:00:00,-0.3,0.14,-0.19,0.27
175:00:00,-0.31,0.13,-0.19,0.27
176:00:00,-0.31,0.14,-0.19,0.27
177:00:00,-0.3,0.13,-0.19,0.27
178:00:00,-0.3,0.12,-0.19,0.27
179:00:00,-0.3,0.11,-0.19,0.27
180:00:00,-0.3,0.11,-0.18,0.27
181:00:00,-0.3,0.1,-0.18,0.27
182:00:00,-0.3,0.09,-0.18,0.28
183:00:00,-0.31,0.09,-0.18,0.28
184:00:00,-0.3,0.09,-0.18,0.28
185:00:00,-0.3,0.07,-0.18,0.28
186:00:00,-0.3,0.07,-0.18,0.28
187:00:00,-0.29,0.05,-0.18,0.28
188:00:00,-0.3,0.04,-0.18,0.28
189:00:00,-0.3,0.01,-0.18,0.28
190:00:00,-0.29,0.01,-0.18,0.28
191:00:00,-0.29,-0.01,-0.17,0.28
192:00:00,-0.29,-0.05,-0.17,0.28
193:00:00,-0.29,-0.07,-0.17,0.28
194:00:00,-0.3,-0.11,-0.17,0.28
195:00:00,-0.29,-0.12,-0.17,0.28
196:00:00,-0.29,-0.14,-0.17,0.28
197:00:00,-0.3,-0.15,-0.17,0.28
198:00:00,-0.31,-0.16,-0.17,0.29
199:00:00,-0.29,-0.15,-0.16,0.29
200:00:00,-0.3,-0.16,-0.16,0.29
201:00:00,-0.3,-0.16,-0.16,0.29
202:00:00,-0.3,-0.18,-0.16,0.29
203:00:00,-0.3,-0.18,-0.16,0.29
204:00:00,-0.3,-0.17,-0.16,0.29
205:00:00,-0.3,-0.17,-0.16,0.29
206:00:00,-0.3,-0.17,-0.16,0.29
207:00:00,-0.3,-0.18,-0.15,0.29
208:00:00,-0.3,-0.18,-0.15,0.29
209:00:00,-0.3,-0.18,-0.15,0.29
210:00:00,-0.3,-0.19,-0.15,0.29
211:00:00,-0.3,-0.19,-0.15,0.29
212:00:00,-0.3,-0.21,-0.15,0.29
213:00:00,-0.3,-0.22,-0.14,0.29
214:00:00,-0.3,-0.21,-0.14,0.3
215:00:00,-0.3,-0.25,-0.14,0.3
216:00:00,-0.3,-0.22,-0.14,0.3
217:00:00,-0.3,-0.21,-0.14,0.31
218:00:00,-0.3,-0.21,-0.14,0.3
219:00:00,-0.3,-0.21,-0.14,0.3
220:00:00,-0.3,-0.23,-0.14,0.3
221:00:00,-0.3,-0.21,-0.14,0.3
222:00:00,-0.3,-0.22,-0.14,0.3
223:00:00,-0.3,-0.22,-0.14,0.3
224:00:00,-0.3,-0.21,-0.14,0.3
225:00:00,-0.3,-0.21,-0.14,0.3
226:00:00,-0.3,-0.21,-0.13,0.3
227:00:00,-0.3,-0.21,-0.13,0.3
228:00:00,-0.3,-0.22,-0.13,0.3
229:00:00,-0.29,-0.21,-0.13,0.3
230:00:00,-0.29,-0.21,-0.13,0.29
