,Initial,Mod,SSM,Carbon paper,Carbon paper with PTFE coating
pH,6.3,7.6,7.5,7.4,7.5
TDS,1564,980,1020,950,1050
Conductivity,3.162,1.65,1.75,1.55,1.68
COD,5302,2900,3100,2700,2850
Salinity,6.2,4.8,5.1,5.8,5.7
Resistance,315,160,210,219,214
